Node,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20
324,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
80,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
295,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
288,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
296,4,4,6,3,9,4,4,9,3,12,8,5,9,6,5,10,4,1,3,6
45,5,6,14,8,5,6,10,1,0,1,12,4,1,7,9,9,9,14,6,11
137,2,0,0,4,10,0,5,10,8,9,5,0,0,3,0,2,10,13,10,0
84,2,13,1,11,3,10,12,2,4,9,11,1,0,12,6,11,2,12,10,13
322,2,13,1,11,3,10,12,2,4,9,11,1,0,12,6,11,2,12,10,13
134,2,0,0,4,10,0,5,10,8,9,0,0,0,3,0,2,10,13,10,0
100,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
58,12,6,13,12,11,11,13,7,13,13,12,13,11,1,7,12,1,6,4,7
87,0,11,10,5,0,9,0,5,12,7,9,10,7,11,13,6,13,0,8,12
8,0,10,10,5,0,9,0,5,12,7,9,10,7,11,13,6,13,0,8,12
88,0,11,10,5,0,9,0,5,12,7,9,10,7,11,13,6,13,0,8,12
98,6,14,7,12,11,11,6,3,7,6,7,14,12,1,12,12,6,5,4,1
121,6,14,7,12,11,11,6,3,7,6,7,14,12,1,12,12,6,5,4,1
120,6,14,7,12,11,11,6,3,7,6,7,14,12,1,12,12,6,5,4,1
103,6,14,7,12,11,11,6,3,7,6,7,14,12,1,12,12,6,0,4,1
22,6,11,13,12,11,11,13,7,7,6,7,14,12,1,12,12,6,6,4,1
131,6,11,13,12,11,11,13,7,7,6,7,14,12,1,12,12,6,6,4,1
105,0,10,10,5,0,9,0,5,5,7,9,7,4,4,13,6,13,0,8,12
6,0,10,10,5,0,9,0,5,5,7,9,7,4,4,13,6,13,0,8,12
31,7,1,3,1,8,2,11,0,13,4,2,2,11,0,10,7,0,4,2,4
34,7,1,3,1,7,2,11,0,1,4,2,2,8,0,10,7,0,4,8,4
273,11,5,12,1,7,2,3,8,1,2,1,6,6,2,2,7,0,2,9,8
