Node,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20
170,1,7,2,10,2,5,8,4,10,11,3,9,2,8,1,4,11,10,5,2
172,3,10,9,8,5,6,0,1,0,1,0,4,7,7,9,6,9,14,6,11
174,3,10,9,8,5,6,1,1,0,1,0,4,1,7,9,5,9,3,6,11
173,3,10,9,8,5,6,1,1,0,1,0,4,1,7,9,5,9,3,6,11
175,3,9,9,8,5,6,1,1,0,1,0,4,1,7,9,5,9,3,6,11
177,3,9,9,0,1,7,1,1,6,0,0,3,1,7,3,5,3,3,7,3
244,3,6,9,8,5,6,1,1,0,1,12,4,1,7,9,5,9,3,6,11
116,3,9,9,0,1,7,1,1,6,0,0,3,1,7,3,5,3,3,7,3
144,3,9,9,0,1,7,1,1,6,0,0,3,3,7,3,5,3,3,7,3
92,3,10,9,8,5,9,0,5,12,1,9,10,7,11,9,6,9,14,6,12
179,3,9,9,0,1,7,1,1,6,0,0,3,1,7,3,5,3,3,7,3
181,5,0,1,11,3,0,5,2,10,11,5,0,1,8,1,2,10,14,7,9
222,5,0,1,11,3,0,5,2,10,11,5,0,1,8,1,2,10,14,7,9
95,5,12,14,8,5,6,10,1,0,1,0,4,1,7,9,9,9,14,6,11
2,5,12,14,8,5,6,10,1,0,1,0,4,1,7,9,9,9,14,6,11
341,6,14,7,12,11,11,6,3,7,6,7,14,12,1,12,1,6,5,4,1
331,0,10,10,5,0,9,0,5,5,7,9,7,4,4,13,6,13,0,8,12
124,0,10,10,5,0,9,0,5,5,7,9,7,4,4,13,6,13,0,8,12
151,0,10,10,5,0,9,0,5,5,4,9,7,4,4,10,6,13,0,8,12
189,0,10,10,5,0,9,0,5,5,7,9,7,4,4,13,6,13,0,8,12
190,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
192,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
193,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
194,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
219,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
228,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
229,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
214,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
205,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
195,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
199,1,0,1,11,4,0,5,6,10,11,5,0,2,8,1,2,10,10,5,2
208,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
203,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
216,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
223,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
225,9,8,11,9,4,8,9,6,11,10,4,8,2,5,11,8,8,11,5,10
202,10,7,8,7,2,5,8,4,9,3,3,9,10,9,8,3,7,9,1,9
