4,10
5,4
5,104
26,23
12,30
12,32
12,11
13,12
15,13
16,13
16,29
16,246
20,16
20,334
20,335
1,44
1,86
1,159
1,176
1,180
1,240
1,248
1,260
1,123
1,312
23,20
28,33
32,29
29,28
14,12
33,38
35,17
38,36
17,15
17,25
17,19
17,183
17,184
17,18
17,27
17,132
17,236
17,241
17,250
17,130
17,281
17,81
17,293
25,83
36,35
49,161
49,169
54,53
53,176
53,178
187,186
187,188
44,59
44,243
44,313
60,65
63,67
65,262
67,262
68,276
72,81
72,286
72,293
72,75
72,76
72,301
74,39
77,291
56,55
56,111
56,324
80,295
80,288
296,295
296,288
45,44
83,137
84,322
86,134
19,16
19,44
19,111
19,59
19,100
19,324
19,334
58,56
87,8
8,5
88,87
98,121
98,120
98,103
22,16
22,131
22,120
22,103
105,104
104,6
31,30
34,33
34,273
107,106
110,109
109,111
111,278
113,112
112,114
115,114
114,37
117,40
40,17
106,9
106,91
37,35
118,117
119,57
57,55
57,117
57,126
122,6
6,4
6,117
6,125
6,162
6,186
6,188
6,270
6,306
125,256
125,258
125,61
125,64
125,73
125,297
126,253
126,256
126,73
126,328
127,129
129,133
129,146
129,185
129,235
129,238
133,253
133,71
133,256
133,258
133,70
133,128
135,134
134,137
138,137
137,145
142,141
142,146
141,147
146,152
147,148
149,148
148,153
148,154
148,50
148,155
148,156
152,155
153,200
154,132
50,49
155,27
155,132
156,200
51,49
160,159
52,49
158,157
158,161
161,163
163,162
163,166
165,140
140,137
140,191
164,163
164,140
164,198
164,197
166,164
167,166
159,171
168,220
169,168
170,169
172,171
174,173
173,175
175,177
175,244
176,177
177,116
144,141
178,144
116,114
116,178
171,173
171,92
179,116
181,180
180,222
95,2
183,185
184,185
185,301
185,341
331,124
188,151
189,9
9,5
9,124
190,192
190,193
190,194
190,219
190,228
190,229
214,200
205,200
195,200
199,198
208,200
203,200
216,200
220,219
220,223
220,225
202,200
196,195
196,221
198,222
201,200
212,200
213,200
217,200
206,200
215,200
207,200
210,200
210,39
204,200
222,143
211,200
209,200
143,141
224,210
197,195
197,218
197,221
197,223
197,210
197,225
197,226
197,227
197,229
197,230
197,231
197,232
197,233
197,234
18,15
18,235
18,41
18,150
47,44
47,86
132,129
132,161
132,166
132,169
139,137
236,139
236,237
27,23
27,44
27,83
2,1
59,56
59,22
59,112
59,46
59,247
46,44
242,240
240,46
243,244
244,245
245,100
100,98
100,59
100,306
100,317
100,24
249,247
246,100
246,247
250,246
251,48
48,36
11,10
11,28
11,186
11,188
11,252
252,48
254,253
253,71
71,68
255,248
257,256
256,258
258,61
61,60
259,64
64,63
248,247
261,260
62,60
62,63
66,65
66,67
263,262
265,264
260,270
264,266
266,73
73,72
271,270
268,267
272,268
70,68
70,72
70,272
274,70
69,68
283,275
277,276
270,90
273,268
273,272
279,278
279,269
269,267
269,272
269,285
269,42
280,123
123,6
123,129
130,129
281,289
281,43
282,238
238,236
238,247
238,275
238,324
284,90
275,274
290,289
81,80
81,285
39,38
39,286
287,286
286,79
79,77
78,77
90,87
90,289
291,292
292,293
75,74
76,74
289,7
289,302
82,80
288,79
7,4
7,20
7,102
7,157
7,186
7,188
7,100
7,278
7,294
42,17
297,42
298,297
294,7
3,1
299,91
128,127
300,128
301,300
91,87
91,294
91,330
303,302
302,305
304,89
89,87
89,101
307,306
306,308
308,239
309,239
239,59
43,17
41,17
150,148
305,89
310,305
311,108
151,148
313,320
313,314
318,317
191,190
317,101
319,101
182,2
96,95
97,95
101,22
321,320
85,84
320,85
325,324
316,313
315,313
333,314
323,21
136,134
21,16
21,20
324,21
324,24
324,120
327,326
328,327
329,328
92,8
92,100
92,330
124,6
124,129
124,289
124,7
145,141
145,59
145,313
108,106
314,313
336,24
24,20
24,335
337,121
338,131
339,120
340,103
121,57
312,108
131,129
120,57
103,102
103,129
93,88
94,88
330,92
341,99
99,98
332,312
